date,error
2014-10-25,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2015-04-18,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2015-10-10,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2016-04-02,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2016-09-24,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2017-03-18,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2017-09-09,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2018-03-03,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2018-08-25,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2019-02-16,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2019-08-10,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2020-02-01,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2020-07-25,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2021-01-16,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2021-07-10,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2021-11-17,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2022-03-14,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2022-07-09,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2022-11-02,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2023-02-27,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2023-06-24,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2023-10-18,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2024-02-12,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2024-06-08,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2024-10-02,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2025-01-27,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2025-05-24,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
2025-09-17,'charmap' codec can't encode character '\u2192' in position 2: character maps to <undefined>
